artist,song
Ariana Grande,Problem (Spanglish Version)
Fashion Genius,Fit of the Day 8/19/14
Ariana Grande,Best Mistake
Mustard,Face Down
Common,Diamonds
Travis Scott,Don’t Play
Ariana Grande,Problem
Logic,Alright
Big Sean,You Don’t Know
Jennifer Lopez,I Luh Ya Papi (Remix)
Big Sean,Sanctified
Rick Ross,Sanctified
Fashion Genius,Fit of the Day 1/19/14
Fashion Genius,Fit of the Day 1/4/2014
TBO21,Intro
Jennifer Lopez,I Luh Ya Papi (DJ Khaled Remix)
Big Sean,Open Bar (Freestyle)
Ariana Grande,Problem (No Rap Version)
Big Sean,1st Quarter Freestyle
Big Sean,10 2 10 (Remix)
Mike WiLL Made-It,10 2 10 (Rare Version)
Justin Bieber,Memphis
Mike Posner,Top of the World
Danlocz   Jameal,I dont care
Tinie Tempah,Shape
DJ Khaled,You Don’t Want These Problems
Pusha T,Who I Am
Miley Cyrus,Love Money Party
Drake,All Me
Dicecapo,Higher freestyle
Naya Rivera,Sorry
Big Sean,All Figured Out
Big Sean,Toyota Music
Big Sean,World Ablaze
Big Sean,All Figured Out
Big Sean,Toyota Music
Big Sean,Sierra Leone
Big Sean,Freaky
Big Sean,MILF
Big Sean,Ashley
Big Sean,Mona Lisa
Big Sean,Hall of Fame [Booklet]
Big Sean,It’s Time
Big Sean,Nothing Is Stopping You
Big Sean,10 2 10
Big Sean,First Chain
Big Sean,Fire
Big Sean,Control
Ariana Grande,Right There
Skylar Grey,Back from the Dead
Big Sean,Beware
D’Banj,Blame It On the Money
The-Dream,Pussy
Jessie J,Wild
Fall Out Boy,The Mighty Fall
Big Sean,Switch Up
Justin Bieber,As Long As You Love Me (Acoustic)
Juicy J,Show Out
Big Sean,Cum Over
Big Sean,She Gon’ Have It
The Game,All That (Lady)
The Word Alive,Mercy
Big Sean,Guap
Big Sean,High (Hot Sugar Remix)
Big Sean,Marvin & Chardonnay (Xaphoon Jones Remix)
Funkmaster Flex,Funkmaster Flex Freestyle
"Kanye West, Big Sean, 2 Chainz & Marsha Ambrosius",The One
"Kanye West, Chief Keef, Pusha T, Big Sean & Jadakiss",Don’t Like.1
Big Sean,Mula
Meek Mill,Burn
Big Sean,Sellin Dreams
"Kanye West, JAY-Z & Big Sean",Clique
Big Sean,Story by Snoop Lion
Big Sean,I’m Gonna Be
Big Sean,Experimental
Big Sean,Story by Common
Big Sean,All I Know
Big Sean,Story by Snoop Lion
Big Sean,How It Feel
Big Sean,RWT
Big Sean,24k of Gold
Big Sean,Higher
Big Sean,Woke Up
Big Sean,FFOE
Big Sean,100
Big Sean,Story by Young Jeezy
Big Sean,"Once Bitten, Twice Shy"
DJ Khaled,I’m So Blessed
Hit-Boy,Option
CyHi The Prynce,100 Bottles
Ali Brustofski,As Long As You Love Me
Justin Bieber,As Long as You Love Me
King Chip,Fat Raps
Lil Wayne,My Homies Still
Starshell,Superluva (G.O.O.D. Music Remix)
Gucci Mane,Brought Out Them Racks
Meek Mill,Take U Home
Kevin McCall,Naked
Chris Brown,Till I Die
Kanye West,Mercy
Tinie Tempah,Lucky Cunt
Tyga,I’m Gone
Chaos,100
Aleesia,Kiss It Bye Bye
Yo Gotti,Go Girl
Khalil,Goodie Goodie
Big Sean,I Keep It G
Roscoe Dash,Sidity
John West,Already There
Wale,Slight Work
2 Chainz,K.O.
DJ Drama,Oh My (Remix)
Soulja Boy Tell ’Em,Love Money
The-Dream,Ghetto
Kelly Rowland,Lay It on Me
Chris Brown,Last
Wiz Khalifa,Dot Dot Dot
Wiz Khalifa,Proceed
Wiz Khalifa,Weed Brownies
Wiz Khalifa,Flowers
DJ Khaled,Future
Wiz Khalifa,OTTR
Cris Cab,Good Girls (Don’t Grow on Trees)
Big Sean,Marvin & Chardonnay
Big Sean,So Much More
Big Sean,Wait for Me
Big Sean,Dance (A$$)
Big Sean,Don’t Tell Me You Love Me
Big Sean,Live This Life
Big Sean,Get It (DT)
Big Sean,Memories (Part II)
Big Sean,Celebrity
Big Sean,100 Keys
Big Sean,My House
Big Sean,I Do It
Big Sean,What Goes Around
Big Sean,Finally Famous [Booklet]
Big Sean,Dance (A$$) (Remix)
Big Sean,Intro
Big Sean,Finally Famous [Credits]
Big Sean,High
CyHi The Prynce,Woopty Doo
Big Sean,Mr. Incredible
Big Sean,Home
Big Sean,Love Story
Kirko Bangz,What Yo Name Iz? (Remix)
New Boyz,I Don’t Care
New Boyz,I Don’t Care (Album version)
YG,In Tha Morning
Big Sean,4 My People
Chris Brown,"Paper, Scissors, Rock"
Kanye West,All of the Lights (Remix)
Big Sean,My Last
Wiz Khalifa,Phone Numbers
Wiz Khalifa,GangBang
YC,Racks (Remix)
Kanye West,Christmas in Harlem (G.O.O.D. Fridays Version)
Chris Brown,Glitter
Chris Brown,Shit God Damn
Chris Brown,What U Doin
Kanye West,Looking for Trouble
Kanye West,Don’t Look Down
Kanye West,GOOD Music BET Cypher
Kanye West,GOOD Friday
Big Sean,Supa Dupa Lemonade
Big Sean,5 Bucks (5 On It)
Big Sean,Made
Big Sean,Big Nut Bust
Big Sean,My Closet
Big Sean,Memories
Big Sean,Love Song
Big Sean,Final Hour
Big Sean,Meant to Be
Big Sean,High Rise
Big Sean,Money and Sex
Big Sean,Crazy
Big Sean,Hometown
Big Sean,Fat Raps (Remix)
Big Sean,Almost Wrote You A Love Song
